objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,event,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,,,,,,,
coll084,DSCN3606.jpg,,,DSCN3606.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll085,DSCN3607.jpg,,,DSCN3607.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll086,DSCN3608.jpg,,,DSCN3608.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll087,DSCN3609.jpg,,,DSCN3609.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll088,DSCN3610.jpg,,,DSCN3610.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll089,DSCN3611.jpg,,,DSCN3611.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll090,DSCN3618.jpg,,,DSCN3618.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll091,DSCN3619.jpg,,,DSCN3619.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll092,DSCN3620.jpg,,,DSCN3620.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll093,DSCN3621.jpg,,,DSCN3621.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll094,DSCN3622.jpg,,,DSCN3622.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll095,DSCN3623.jpg,,,DSCN3623.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll096,DSCN3624.jpg,,,DSCN3624.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll097,DSCN3625.jpg,,,DSCN3625.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll098,DSCN3626.jpg,,,DSCN3626.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll099,DSCN3627.jpg,,,DSCN3627.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll100,DSCN3628.jpg,,,DSCN3628.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll101,DSCN3629.jpg,,,DSCN3629.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll102,DSCN3630.jpg,,,DSCN3630.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll103,DSCN3631.jpg,,,DSCN3631.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll104,DSCN3632.jpg,,,DSCN3632.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll105,DSCN3633.jpg,,,DSCN3633.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll106,FamilyHomeNorthWaterford1967.jpg,,,FamilyHomeNorthWaterford1967.jpg,,1967,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll107,P1010863.jpg,,,P1010863.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll108,P1020359.jpg,,,P1020359.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll109,P1020364.jpg,,,P1020364.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll110,P1020439.jpg,,,P1020439.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll111,P1020447.jpg,,,P1020447.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
